ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics
174430,Gloomhaven,2017,1,4,120,14,42055,8,,,,
161936,Pandemic Legacy: Season 1,2015,2,4,60,13,41643,8,,,,
224517,Brass: Birmingham,2018,2,4,120,14,19217,8,,,,
167791,Terraforming Mars,2016,1,5,120,12,64864,8,,,,
233078,Twilight Imperium: Fourth Edition,2017,3,6,480,14,13468,8,,,,
291457,Gloomhaven: Jaws of the Lion,2020,1,4,120,14,8392,8,,,,
182028,Through the Ages: A New Story of Civilization,2015,2,4,120,14,23061,8,,,,
220308,Gaia Project,2017,1,4,150,12,16352,8,,,,
187645,Star Wars: Rebellion,2016,2,4,240,14,23081,8,,,,
12333,Twilight Struggle,2005,2,2,180,13,40814,8,,,,
193738,Great Western Trail,2016,2,4,150,12,29457,8,,,,
115746,War of the Ring: Second Edition,2012,2,4,180,13,13725,8,,,,
162886,Spirit Island,2017,1,4,120,13,25722,8,,,,
169786,Scythe,2016,1,5,115,14,57871,8,,,,
84876,The Castles of Burgundy,2011,2,4,90,12,46507,8,,,,
120677,Terra Mystica,2012,2,5,150,12,39284,8,,,,
173346,7 Wonders Duel,2015,2,2,30,10,60302,8,,,,
124361,Concordia,2013,2,5,100,13,28105,8,,,,
28720,Brass: Lancashire,2007,2,4,120,14,19400,8,,,,
266192,Wingspan,2019,1,5,70,10,43165,8,,,,
177736,A Feast for Odin,2016,1,4,120,12,17377,8,,,,
205637,Arkham Horror: The Card Game,2016,1,2,120,14,28577,8,,,,
183394,Viticulture Essential Edition,2015,1,6,90,13,29486,8,,,,
167355,Nemesis,2018,1,5,180,12,12290,8,,,,
164928,Orléans,2014,2,4,90,12,22244,8,,,,
96848,Mage Knight Board Game,2011,1,4,240,14,27850,8,,,,
237182,Root,2018,2,4,90,10,24412,8,,,,
3076,Puerto Rico,2002,3,5,150,12,63128,7,,,,
175914,Food Chain Magnate,2015,2,5,240,14,13863,8,,,,
102794,Caverna: The Cave Farmers,2013,1,7,210,12,28123,8,,,,
31260,Agricola,2007,1,5,150,12,63498,7,,,,
170216,Blood Rage,2015,2,4,90,14,33940,8,,,,
205059,Mansions of Madness: Second Edition,2016,1,5,180,14,25116,8,,,,
180263,The 7th Continent,2017,1,4,1000,14,16868,8,,,,
221107,Pandemic Legacy: Season 2,2017,2,4,60,14,12100,8,,,,
199792,Everdell,2018,1,4,80,13,19552,8,,,,
276025,Maracaibo,2019,1,4,120,12,7645,8,,,,
55690,Kingdom Death: Monster,2015,1,4,180,17,7553,8,,,,
2651,Power Grid,2004,2,6,120,12,56214,7,,,,
126163,Tzolk'in: The Mayan Calendar,2012,2,4,90,13,30790,7,,,,
284083,The Crew: The Quest for Planet Nine,2019,2,5,20,10,15027,8,,,,
209010,Mechs vs. Minions,2016,2,4,120,14,14056,8,,,,
247763,Underwater Cities,2018,1,4,150,12,9979,8,,,,
164153,Star Wars: Imperial Assault,2014,1,5,120,14,20512,8,,,,
216132,Clans of Caledonia,2017,1,4,120,12,14835,8,,,,
185343,Anachrony,2017,1,4,120,15,11585,8,,,,
